t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,flood_probability,prediction
1.9,4.33,1.14,3.57,0.72,0.99,2.11,0.6,1.55,1.83,0.0008101445,0
4.35,1.29,0.49,1.92,1.09,1.82,0.87,3.49,2.1,3.3,0.6508344,1
0.23,2.04,4.1,1.33,1.24,1.56,0.03,1.01,2.89,0.13,0.98036855,1
2.63,0.06,3.31,0.27,0.95,1.76,1.43,0.11,0.69,0.31,0.0042888965,0
0.09,3.13,1.41,1.32,2.72,2.06,0.24,0.73,1.31,2.84,0.9450137,1
2.33,1.57,1.47,2.93,2.26,4.95,2.9,0.42,3.31,1.68,0.94013107,1
0.48,1.81,1.12,1.7,0.72,2.65,2.67,1.49,1.1,0.97,0.97451675,1
0.59,2.26,2.67,1.13,3.68,5.32,0.79,0.59,0.62,0.77,8.67954e-06,0
1.58,3.42,2.82,0.79,2.46,0.93,4.53,1.63,2.69,1.79,0.41878065,0
1.6,2.61,1.2,2.48,0.29,1.52,0.59,9.0,5.79,4.15,0.99771655,1
0.14,2.63,0.4,1.92,0.62,2.63,0.45,0.16,1.09,0.96,0.00012091293,0
0.53,4.25,0.31,4.48,1.5,2.75,0.45,2.47,1.26,3.2,0.036843423,0
2.55,3.97,3.5,1.86,3.15,1.51,1.04,1.45,0.08,0.16,0.16836585,0
0.47,0.18,2.46,2.17,2.46,2.14,3.14,2.52,2.13,1.8,0.13085574,0
1.16,2.05,1.17,1.06,1.24,2.4,4.24,3.74,0.17,0.93,0.9683376,1
3.77,1.68,1.52,0.53,1.48,0.13,0.42,1.61,0.67,4.57,0.012014798,0
0.8,1.62,4.36,2.28,0.25,0.86,0.49,2.26,3.39,0.15,0.030702367,0
1.61,2.71,0.49,4.01,2.14,2.99,1.77,1.84,0.11,1.17,0.0011889322,0
3.44,1.79,3.19,1.71,2.3,3.38,1.55,1.79,0.61,1.88,0.949066,1
2.45,0.05,0.23,2.23,1.99,3.54,0.24,0.83,3.79,0.36,5.8604845e-05,0
0.16,2.42,0.59,1.35,2.26,0.11,4.63,0.29,2.59,3.59,0.9351937,1
2.74,0.11,0.03,3.88,0.97,3.05,3.18,2.81,2.51,0.77,3.4680053e-08,0
0.61,3.98,2.21,0.13,0.33,0.68,3.59,1.17,0.31,0.64,0.007422107,0
2.76,2.09,0.25,2.17,0.24,0.23,3.42,0.4,3.53,0.21,1.5251191e-09,0
2.19,1.6,3.38,2.27,3.99,0.55,0.31,3.23,0.76,0.5,0.9945662,1
3.51,2.44,0.49,0.47,3.98,3.4,1.29,0.73,0.03,3.58,3.390899e-07,0
7.39,4.31,0.36,3.43,3.9,1.71,1.46,2.86,0.0,5.32,1.029553e-05,0
1.38,0.89,2.35,2.43,0.61,0.37,0.59,0.31,3.36,0.16,1.0999199e-06,0
2.31,4.86,0.29,0.13,0.76,1.23,2.82,3.0,0.22,1.73,0.0019730304,0
3.1,0.49,0.49,1.17,2.34,0.62,1.89,3.92,1.45,0.18,0.96699864,1
1.37,1.94,1.78,1.75,4.27,4.46,0.47,0.66,0.65,1.35,1.315864e-09,0
3.19,2.94,2.04,2.92,0.8,4.74,2.52,4.51,1.75,1.03,0.24084051,0
3.03,2.46,0.25,1.58,1.7,1.03,0.58,2.58,1.12,1.06,0.687138,1
1.56,4.31,6.0,2.49,0.55,3.05,1.54,1.5,3.62,0.91,0.99695045,1
0.98,3.74,0.57,1.23,0.21,3.16,2.24,0.03,0.94,0.91,6.4262935e-07,0
1.68,4.08,2.4,3.77,5.69,1.53,0.02,0.17,5.92,0.41,0.9969259,1
3.31,0.03,0.3,1.04,0.43,1.81,2.07,2.53,2.39,0.01,0.0025474434,0
0.5,1.46,5.81,2.61,0.99,3.42,0.23,0.77,3.2,0.15,0.99212873,1
0.54,0.08,3.08,0.62,1.28,1.05,0.56,3.21,0.25,2.96,0.0157579,0
1.78,0.28,4.44,2.98,1.88,2.37,1.03,0.28,3.69,1.1,0.9818279,1
1.07,1.11,1.26,2.8,2.54,0.42,3.0,1.28,1.04,1.95,0.0032421828,0
0.89,1.96,5.03,3.73,0.45,3.0,2.0,1.43,0.47,4.43,0.96967804,1
4.15,0.02,0.52,0.49,1.33,2.78,2.8,3.63,1.04,3.6,0.00027128105,0
1.68,1.37,3.2,1.74,3.76,0.37,4.93,1.25,1.07,2.37,0.0796966,0
2.39,0.38,2.34,1.42,3.36,0.37,0.98,1.85,0.48,4.82,3.5230224e-07,0
3.25,1.89,1.01,5.02,1.28,0.78,2.61,0.73,0.85,4.92,3.594287e-13,0
0.78,5.35,0.66,1.37,3.83,3.75,0.62,0.51,1.29,1.09,0.9825402,1
2.3,0.08,1.46,1.86,0.59,0.52,0.84,0.5,3.97,3.83,0.986565,1
3.39,0.65,0.83,0.74,4.06,2.35,0.96,0.45,0.96,1.71,0.00011857159,0
4.08,2.13,0.71,2.89,6.15,2.52,5.75,0.19,1.45,4.09,0.99820364,1
1.88,1.0,1.42,1.15,0.86,2.61,1.75,0.31,1.86,2.53,0.00015035723,0
0.53,1.51,1.9,2.3,0.97,3.52,2.83,2.6,1.1,1.57,0.28059816,0
1.87,0.45,4.56,1.75,1.06,0.64,2.23,3.03,0.68,1.23,0.97048527,1
0.41,0.75,3.08,0.74,1.11,2.64,3.6,3.03,0.11,1.27,0.91561306,1
3.59,1.58,0.48,0.55,0.82,3.53,2.77,4.58,0.14,1.38,0.9884808,1
2.68,6.24,0.81,0.81,3.22,4.28,1.43,1.68,3.11,5.52,0.99575555,1
1.65,1.2,0.26,1.12,0.92,5.21,1.19,1.17,0.61,2.48,1.1809092e-11,0
0.81,0.9,1.31,1.17,4.65,0.28,2.65,2.66,2.13,3.86,0.0021068929,0
5.76,0.28,1.76,4.54,1.87,1.83,1.93,2.33,1.75,1.14,2.4030843e-11,0
3.99,1.1,1.41,5.22,7.1,3.77,4.41,2.69,0.02,4.4,0.9999924,1
1.82,0.92,4.37,0.7,1.49,2.8,1.63,1.3,1.46,0.74,0.9555623,1
